0,8.514
0.20202,-11.347
0.40404,16.246
0.60606,21.648
0.80808,25.067
1.0101,-6.3839
1.2121,15.69
1.4141,7.7279
1.6162,21.011
1.8182,13.76
2.0202,19.329
2.2222,-3.1336
2.4242,-5.4935
2.6263,15.376
2.8283,-49.646
3.0303,-19.809
3.2323,-37.811
3.4343,-22.859
3.6364,-5.1539
3.8384,-4.6337
4.0404,-44.556
4.2424,-36.862
4.4444,-27.946
4.6465,-39.821
4.8485,-31.281
5.0505,-32.677
5.2525,-62.646
5.4545,-50.955
5.6566,-93.418
5.8586,-31.202
6.0606,-69.986
6.2626,-84.726
6.4646,-68.909
6.6667,-95.509
6.8687,-70.371
7.0707,-84.085
7.2727,-32.12
7.4747,-55.584
7.6768,-130.83
7.8788,-74.455
8.0808,-113.47
8.2828,-92.656
8.4848,-86.127
8.6869,-76.12
8.8889,-97.98
9.0909,-62.212
9.2929,-104.34
9.4949,-88.896
9.697,-82.616
9.899,-94.395
10.101,-78.378
10.303,-89.129
10.505,-110.56
10.707,-129.94
10.909,-55.276
11.111,-102.8
11.313,-86.544
11.515,-74.87
11.717,-80.994
11.919,-98.091
12.121,-85.666
12.323,-74.697
12.525,-38.068
12.727,-79.859
12.929,-41.48
13.131,-45.053
13.333,-49.466
13.535,-58.987
13.737,-36.075
13.939,-24.142
14.141,-43.272
14.343,-0.96356
14.545,-11.61
14.747,13.172
14.949,32.593
15.152,19.191
15.354,43.55
15.556,68.976
15.758,38.558
15.96,109.95
16.162,152.34
16.364,138.34
16.566,128.82
16.768,160.41
16.97,148.52
17.172,224.94
17.374,225.08
17.576,241.65
17.778,228.78
17.98,273.88
18.182,278.29
18.384,306
18.586,324.43
18.788,339.74
18.99,367.34
19.192,407.44
19.394,404.65
19.596,478.64
19.798,492.89
20,538.9
